Gene	variable	value	Average	CircadianTime	Measurement	PathwayClass
NCU00642.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU00985.7	CT12.0_RNA	0.021852399266194308	False	12.0	RNA	Carbohydrates-Degradation
NCU00810.7	CT12.0_RNA	0.28066019966134903	False	12.0	RNA	Carbohydrates-Degradation
NCU04623.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU05956.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU08114.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU00801.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU00130.7	CT12.0_RNA	0.28066019966134903	False	12.0	RNA	Carbohydrates-Degradation
NCU10021.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU05597.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU09287.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU02188.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU00821.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU01633.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU02550.7	CT12.0_RNA	0.7580781044003322	False	12.0	RNA	Carbohydrates-Degradation
NCU04510.7	CT12.0_RNA	0.021852399266194308	False	12.0	RNA	Carbohydrates-Degradation
NCU00643.7	CT12.0_RNA	0.28066019966134903	False	12.0	RNA	Carbohydrates-Degradation
NCU09041.7	CT12.0_RNA	0.06030737921409201	False	12.0	RNA	Carbohydrates-Degradation
NCU01813.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Carbohydrates-Degradation
NCU08152.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU05627.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU06358.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU04963.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	Carbohydrates-Degradation
NCU08180.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU07169.7	CT12.0_RNA	1.848048096156426	False	12.0	RNA	Carbohydrates-Degradation
NCU02855.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU08189.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU07225.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU04997.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU05924.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU07130.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU01900.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU09652.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU06861.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU00709.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU01132.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU00809.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU05853.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU08755.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU04952.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU03254.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Carbohydrates-Degradation
NCU00762.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU08227.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU07190.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU01162.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU03914.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU05121.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU02240.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU05882.7	CT12.0_RNA	0.28066019966134903	False	12.0	RNA	Carbohydrates-Degradation
NCU01050.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU07898.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU07974.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Carbohydrates-Degradation
NCU08760.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU03328.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU05404.7	CT12.0_RNA	1.9902680687415704	False	12.0	RNA	Carbohydrates-Degradation
NCU01867.7	CT12.0_RNA		False	12.0	RNA	Carbohydrates-Degradation
NCU02916.7	CT12.0_RNA	0.021852399266194308	False	12.0	RNA	Carbohydrates-Degradation
